"VarName","VarDesc","Details"
"AADBDSP","Bed Space Vacuumed (square inches)","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AADBDTIM","Bed Vacuum Time (seconds)","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AADBDTYP","Type of Bed","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AADEXSTS","Status of Dust Allergen Data","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AADFLSP","Floor Space Vacuumed (square inches)","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AADFLTIM","Floor Vacuum Time (seconds)","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AADMOVE","Have you/any of the SPs listed below moved since the time when you were last interviewed in your household?","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AAXBDMAT","Impermeable Mattress Cover","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AAXBDPLW","Impermeable Pillow Cover","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AAXBDST","Bed Sample Status","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AAXBDSUR","Bed Surface Vacuumed","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AAXFLST","Floor Sample Status","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AAXFLTYP","Type of Floor Covering","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AAXRMDES","Room Description","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AAXRMHUM","Room Humidity (%)","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"AAXRMTMP","Room Temperature (F)","[ALDUST_D]
(Laboratory / Allergens - Household Dust)"
"ACD010A","What language(s) {do you/does SP} usually speak at home?","[ACQ, ACQ_B, ACQ_C, ACQ_D, ACQ_E, ACQ_F]
(Questionnaire / Acculturation)"
"ACD010B","What language(s) {do you/does SP} usually speak at home?","[ACQ, ACQ_B, ACQ_C, ACQ_D, ACQ_E, ACQ_F]
(Questionnaire / Acculturation)"
"ACD010C","What language(s) {do you/does SP} usually speak at home?","[ACQ, ACQ_B, ACQ_C, ACQ_D, ACQ_E, ACQ_F]
(Questionnaire / Acculturation)"
"ACD011A","What language(s) {do you/does SP} usually speak at home?","[ACQ_G, ACQ_H, ACQ_I, ACQ_J]
(Questionnaire / Acculturation)"
"ACD011B","What language(s) {do you/does SP} usually speak at home?","[ACQ_G, ACQ_H, ACQ_I, ACQ_J]
(Questionnaire / Acculturation)"
"ACD011C","What language(s) {do you/does SP} usually speak at home?","[ACQ_G, ACQ_H, ACQ_I, ACQ_J]
(Questionnaire / Acculturation)"
"ACD040","Now I'm going to ask you about language use.
What language(s) {do you/does SP} usually speak at home?  {Do you/Does he/Does she} speak only Spanish, more Spanish than English, both equally, more English than Spanish, or only English?","[ACQ_G, ACQ_H, ACQ_I, ACQ_J]
(Questionnaire / Acculturation)"
"ACD040","Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home?","[ACQ_D, ACQ_E, ACQ_F]
(Questionnaire / Acculturation)"
"ACD040","What language(s) {do you/does SP} usually speak at home?  Would you say...","[ACQ, ACQ_B, ACQ_C]
(Questionnaire / Acculturation)"
"ACD070","In what country was {your/SP's} father born?","[ACQ, ACQ_B, ACQ_C]
(Questionnaire / Acculturation)"
"ACD080","In what country was {your/SP's} mother born?","[ACQ, ACQ_B, ACQ_C]
(Questionnaire / Acculturation)"
"ACD110","{Do you/Does SP} speak only (NON-ENGLISH LANGUAGE), more (NON-ENGLISH LANGUAGE) than English, both equally, more English than (NON-ENGLISH LANGUAGE), or only English?","[ACQ_G, ACQ_H, ACQ_I, ACQ_J]
(Questionnaire / Acculturation)"
"ACQ020","The next questions are about language.  In general, what language(s) {do you/does SP} read and speak.  Would you say . . .","[ACQ, ACQ_B, ACQ_C]
(Questionnaire / Acculturation)"
"ACQ030","What was the language(s) {you/SP} used as a child?  Would you say ...","[ACQ]
(Questionnaire / Acculturation)"
"ACQ030","What was the language(s) {you/SP} used as a child?  Would you say …","[ACQ_B]
(Questionnaire / Acculturation)"
"ACQ030","What was the language(s) {you/SP} used as a child?  Would you say...","[ACQ_C]
(Questionnaire / Acculturation)"
"ACQ050","In which language(s) {do you/does SP} usually think?  Would you say...","[ACQ, ACQ_B, ACQ_C]
(Questionnaire / Acculturation)"
"ACQ060","What language(s) {do you/does SP} usually speak with {your/his/her} friends?  Would you say...","[ACQ, ACQ_B, ACQ_C]
(Questionnaire / Acculturation)"
"ADfdsec","Adult food security category for last 12 months","[FSQ, FSQ_B]
(Questionnaire / Food Security)"
"AGD020","How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had hay fever?","[AGQ_D]
(Questionnaire / Allergy)"
"AGD050","How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had allergies?","[AGQ_D]
(Questionnaire / Allergy)"
"AGD170","At what age did this itchy rash first occur?","[AGQ_D]
(Questionnaire / Allergy)"
"AGE_EXAM","Age at examination in years.","[GROWTHCH]
(Examination / Growth Chart)"
"AGEMOS","Age at examination in total months.","[GROWTHCH]
(Examination / Growth Chart)"
"AGQ010","Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} hay fever?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ030","During the past 12 months, {have you/has SP} had an episode of hay fever?","[AGQ_D, MCQ_H, MCQ_I, MCQ_J, RDQ_E, RDQ_F, RDQ_G]
(Questionnaire / Allergy, Questionnaire / Medical Conditions, Questionnaire / Respiratory Health)"
"AGQ040","Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} allergies?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ060","During the past 12 months, {have you/has SP} had any allergy symptoms or an allergy attack?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ070","In the last 12 months, {have you/has SP} removed a dog, cat or other small furry animal from {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ080A","Which kind of pet was removed from {your/SP's} home?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ080B","Which kind of pet was removed from {your/SP's} home?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ080C","Which kind of pet was removed from {your/SP's} home?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ090","{Have you/Has SP} avoided bringing new pets into {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ100","During the past 12 months, {have you/has SP} had a problem with sneezing, or a runny, or blocked nose when {you/s/he} did not have a cold or the flu?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ110A","In which season did this nose problem occur?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ110B","In which season did this nose problem occur?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ110C","In which season did this nose problem occur?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ110D","In which season did this nose problem occur?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ120","During the past 12 months, did a doctor or other health professional tell {you/SP} that {you have/SP s/he has} a sinus infection?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ130","{Have you/Has SP} ever had an itchy rash which was coming and going for at least 6 months?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ140","{Have you/Has SP} had this itchy rash at any time in the last 12 months?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ150","Has this rash cleared up completely at any time during the last 12 months?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ160","Has this itchy rash at any time affected any of the following places:  the folds of the elbows, behind the knees, in front of the ankles, under the buttocks, or around the neck, ears, or eyes?","[AGQ_D]
(Questionnaire / Allergy)"
"AGQ180","Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} eczema (ek-zi-ma)?","[AGQ_D]
(Questionnaire / Allergy)"
"AIALANG","Language of the MEC ACASI Interview Instrument","[DEMO_C, DEMO_D, DEMO_E, DEMO_F]
(Demographics / Demographic Variables & Sample Weights)"
"AIALANGA","Language of the MEC ACASI Interview Instrument","[DEMO_G, DEMO_H, DEMO_I, DEMO_J]
(Demographics / Demographic Variables & Sample Weights, Demographics / Demographic Variables and Sample Weights)"
"ALD020","During your life, on how many days have you had at least one drink of alcohol?","[ALQY_F]
(Questionnaire / Alcohol Use (Ages 18-19))"
"ALD030","During the past 30 days, on how many days did you have at least one drink of alcohol?","[ALQY_F]
(Questionnaire / Alcohol Use (Ages 18-19))"
"ALD040","During the past 30 days, on how many days did you have 5 or more drinks of alcohol in a row, that is, within a couple of hours?","[ALQY_F]
(Questionnaire / Alcohol Use (Ages 18-19))"
"ALD100","The next questions are about drinking alcoholic beverages. Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.  In any one year, {have you/has SP} had at least 12 drinks of any type of  alcoholic beverage? By a drink, I mean a 12 oz. beer, a 4 oz. glass of wine, or an ounce of liquor.","[ALQ_B]
(Questionnaire / Alcohol Use)"
"ALD240","The next questions are about alcoholic beverages. When answering think about {your/SP's} use over the past 30 days. How often did {you/SP} drink beer or lite beer?","[DBQ]
(Questionnaire / Diet Behavior & Nutrition)"
"ALD250","[During the past 30 days] how often did {you/SP} drink wine, wine coolers, sangria or champagne?","[DBQ]
(Questionnaire / Diet Behavior & Nutrition)"
"ALD260","[During the past 30 days] how often did {you/SP} drink hard liquor such as tequila, gin, vodka, scotch, rum, wiskey, or liquers, either alone or mixed?","[DBQ]
(Questionnaire / Diet Behavior & Nutrition)"
"ALQ010","English Text: The following questions ask about alcohol use. This includes beer, wine, wine coolers, and liquor such as rum, gin, vodka, or whiskey. This does not include drinking a few sips of wine for religious purposes. How old were you when you had your first drink of alcohol, other than a few sips?","[ALQY_F]
(Questionnaire / Alcohol Use (Ages 18-19))"
"ALQ100","The next questions are about drinking alcoholic beverages. Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.  In any one year, {have you/has SP} had at least 12 drinks of any type of  alcoholic beverage? By a drink, I mean a 12 oz. beer, a 4 oz. glass of wine, or an ounce of liquor.","[ALQ]
(Questionnaire / Alcohol Use)"
"ALQ101","In any one year, {have you/has SP} had at least 12 drinks of any type of alcoholic beverage? By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or a one and a half ounces of liquor.","[ALQ_I]
(Questionnaire / Alcohol Use)"
"ALQ101","The next questions are about drinking alcoholic beverages.  Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.In any one year, {have you/has SP} had at least 12 drinks of any type of alcoholic beverage?  By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and half ounces of liquor.","[ALQ_D, ALQ_E, ALQ_F, ALQ_G, ALQ_H]
(Questionnaire / Alcohol Use)"
